property name,building name,floor number,floor title,unit number,space number,floorplan name,unit type name,unit security deposit,market rent,budgeted base rent,budgeted amenity rent,renewal,square footage,unit status,min sq ft,max sq ft,bedroom count,bathroom count,unit gender,building street line1,building street line2,building city,building state code,building country code,building postal code,street line1,street line2,city,state code,country code,postal code,web visible,is furnished,available on,make ready date,certification of occupancy date,space configuration,lease term,term start date,term end date,note,tax credit unit number,exclusion reason,min rent,max rent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,100,A1,1x1,1x1,,,,,,1000,Vacant Unrented Ready,,,,,,,,,,,,800 N Mill Rd Apt 100,,Vineyard,UT,US,84059,,,5/15/2022,,,,,,,,,,,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,100,A2,1x1,1x1,,,,,,1000,Vacant Unrented Ready,,,,,,,,,,,,800 N Mill Rd Apt 100,,Vineyard,UT,US,84059,,,5/16/2022,,,,,,,,,,,599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,101,A1,1x1,1x1,,,,,,1000,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 101,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,1824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,101,A2,1x1,1x1,,,,,,1000,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 101,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,1810
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,102,A1,1x1,1x1,,,,,,1000,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 102,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,1136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,102,A2,1x1,1x1,,,,,,1000,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 102,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,2166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,103,A1,1x1,1x1,,,,,,1000,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 103,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,1881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,103,A2,1x1,1x1,,,,,,1000,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 103,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,104,A1,1x1,1x1,,,,,,1000,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 104,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,2354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,104,A2,1x1,1x1,,,,,,1000,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 104,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,105,A,2x2,2x2,,,,,,1500,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 105,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,105,B,2x2,2x2,,,,,,1500,Vacant Unrented Ready,,,,,,,,,,,,800 N Mill Rd Apt 105,,Vineyard,UT,US,84059,,,5/16/2022,,,,,,,,,,,1012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,106,A,2x2,2x2,,,,,,1500,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 106,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,2153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,106,B,2x2,2x2,,,,,,1500,Vacant Unrented Ready,,,,,,,,,,,,800 N Mill Rd Apt 106,,Vineyard,UT,US,84059,,,5/16/2022,,,,,,,,,,,1804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,107,A,2x2,2x2,,,,,,1500,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 107,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,1467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,107,B,2x2,2x2,,,,,,1500,Vacant Unrented Ready,,,,,,,,,,,,800 N Mill Rd Apt 107,,Vineyard,UT,US,84059,,,5/16/2022,,,,,,,,,,,1621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,108,A,2x2,2x2,,,,,,1500,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 108,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,1785
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,108,B,2x2,2x2,,,,,,1500,Vacant Unrented Ready,,,,,,,,,,,,800 N Mill Rd Apt 108,,Vineyard,UT,US,84059,,,5/16/2022,,,,,,,,,,,782
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwagakure,1,,,109,A,4x4,4x4,,,,,,2500,Occupied No Notice,,,,,,,,,,,,800 N Mill Rd Apt 109,,Vineyard,UT,US,84059,,,,,,,,8/15/2021,7/31/2022,,,,,2188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
